step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;1623223577287;0;0;0;1;-1.00;-1.00;-1.00;-1.00;0;0;0;0.00;0
0;0;1623223577389;0;0;1;91;29.45;1.06;-1.00;1.00;1;0;0;1.00;0
0;0;1623223577488;0;0;1;91;28.29;1.02;-1.00;1.00;1;0;0;2.00;0
0;0;1623223577590;0;0;2;91;26.40;0.95;-1.00;1.00;2;0;0;3.00;0
0;0;1623223577689;0;0;2;91;23.69;0.85;-1.00;1.00;2;0;0;4.00;0
0;0;1623223577792;0;0;3;91;23.94;0.86;-1.00;1.00;3;0;0;5.00;0
0;0;1623223577892;0;0;3;91;20.74;0.75;-1.00;1.00;3;0;0;6.00;0
0;0;1623223577993;0;0;3;91;16.98;0.61;-1.00;1.00;3;0;0;7.00;0
0;0;1623223578093;0;0;3;91;14.52;0.52;-1.00;1.00;3;0;0;8.00;0
0;0;1623223578194;0;1;3;91;12.05;0.43;-1.00;1.00;3;0;0;9.00;0
0;0;1623223578295;0;1;3;91;9.16;0.33;-1.00;1.00;3;0;0;10.00;0
0;0;1623223578394;0;1;3;91;6.32;0.23;-1.00;1.00;3;0;0;11.00;0
0;0;1623223578494;0;1;3;91;4.48;0.16;-1.00;1.00;3;0;0;12.00;0
0;0;1623223578594;0;1;3;91;2.81;0.10;-1.00;1.00;3;0;0;13.00;0
0;0;1623223578695;0;2;3;91;1.24;0.04;-1.00;1.00;3;0;0;14.00;0
0;0;1623223578796;0;2;4;91;8.91;0.32;-1.00;1.00;4;0;0;15.00;0
0;0;1623223578895;0;2;4;91;9.19;0.33;-1.00;1.00;4;0;0;16.00;0
0;0;1623223578996;0;2;6;91;14.41;0.52;-1.00;1.00;6;0;0;17.00;0
0;0;1623223579096;0;2;6;91;14.78;0.53;-1.00;1.00;6;0;0;18.00;0
0;0;1623223579196;0;2;8;91;17.70;0.64;-1.00;1.00;8;0;0;19.00;0
0;0;1623223579296;0;2;9;91;18.14;0.65;-1.00;1.00;9;0;0;20.00;0
0;0;1623223579396;0;2;9;91;16.70;0.60;-1.00;1.00;9;0;0;21.00;0
0;0;1623223579496;0;2;10;91;15.61;0.56;-1.00;1.00;10;0;0;22.00;0
0;0;1623223579534;0;2;11;91;14.96;0.54;-1.00;1.00;11;0;0;23.00;0
1;0;1623223579559;1;2;13;91;15.00;0.54;19.00;1.00;12;0;0;24.00;0
1;0;1623223579577;1;2;14;91;14.57;0.52;19.00;1.00;13;0;0;25.00;0
1;0;1623223579591;1;4;14;91;13.28;0.48;19.00;1.00;13;0;0;26.00;0
1;0;1623223579598;1;4;14;91;12.19;0.44;19.00;1.00;13;0;0;27.00;0
1;0;1623223579605;1;4;14;91;11.21;0.40;19.00;1.00;13;0;0;28.00;0
1;0;1623223579608;1;4;14;91;10.16;0.37;19.00;1.00;13;0;0;29.00;0
1;0;1623223579611;1;4;15;91;10.36;0.37;19.00;1.00;14;0;0;30.00;0
1;0;1623223579614;1;4;15;91;9.43;0.34;19.00;1.00;14;0;0;31.00;0
1;0;1623223579617;1;6;15;91;9.24;0.33;19.00;1.00;14;0;0;32.00;0
1;0;1623223579620;1;5;16;91;10.92;0.39;19.00;1.00;15;0;0;33.00;0
2;0;1623223579623;2;6;16;91;10.18;0.37;17.00;1.00;14;0;0;34.00;0
2;0;1623223579625;2;6;16;91;10.73;0.39;17.00;1.00;14;0;0;35.00;0
3;0;1623223579628;3;6;16;91;10.70;0.39;17.67;1.00;13;0;0;36.00;0
3;0;1623223579630;3;6;18;91;13.11;0.47;17.67;1.00;15;0;0;37.00;0
3;0;1623223579633;3;6;19;91;14.14;0.51;17.67;1.00;16;0;0;38.00;0
3;0;1623223579636;3;6;19;91;14.18;0.51;17.67;1.00;16;0;0;39.00;0
4;0;1623223579638;4;6;20;91;14.23;0.51;17.50;1.00;16;0;0;40.00;0
4;0;1623223579641;4;6;20;91;13.89;0.50;17.50;1.00;16;0;0;41.00;0
4;0;1623223579644;4;6;20;91;12.95;0.47;17.50;1.00;16;0;0;42.00;0
4;0;1623223579646;4;6;20;91;12.18;0.44;17.50;1.00;16;0;0;43.00;0
5;0;1623223579649;5;6;20;91;10.50;0.38;17.80;1.00;15;0;0;44.00;0
5;0;1623223579651;5;4;21;91;10.98;0.40;17.80;1.00;16;0;0;45.00;0
5;0;1623223579654;5;4;21;91;10.85;0.39;17.80;1.00;16;0;0;46.00;0
5;0;1623223579657;5;3;22;91;11.61;0.42;17.80;1.00;17;0;0;47.00;0
5;0;1623223579659;5;1;23;91;12.51;0.45;17.80;1.00;18;0;0;48.00;0
5;0;1623223579662;5;1;23;91;12.26;0.44;17.80;1.00;18;0;0;49.00;0
5;0;1623223579665;5;2;24;91;13.08;0.47;17.80;1.00;19;0;0;50.00;0
5;0;1623223579667;5;1;24;91;13.06;0.47;17.80;1.00;19;0;0;51.00;0
6;0;1623223579670;6;2;25;91;12.77;0.46;18.00;1.00;19;0;0;52.00;0
7;0;1623223579673;7;2;25;91;11.25;0.40;20.86;1.00;18;0;0;53.00;0
7;0;1623223579676;7;1;26;91;11.51;0.41;20.86;1.00;19;0;0;54.00;0
7;0;1623223579679;7;2;27;91;12.21;0.44;20.86;1.00;20;0;0;55.00;0
8;0;1623223579681;8;2;29;91;13.31;0.48;25.12;1.00;21;0;0;56.00;0
8;0;1623223579684;8;1;29;91;14.03;0.51;25.12;1.00;21;0;0;57.00;0
8;0;1623223579687;8;2;29;91;14.37;0.52;25.12;1.00;21;0;0;58.00;0
8;0;1623223579690;8;3;29;91;14.16;0.51;25.12;1.00;21;0;0;59.00;0
9;0;1623223579693;9;3;31;91;14.60;0.53;27.11;1.00;22;0;0;60.00;0
10;0;1623223579696;10;3;31;91;12.98;0.47;28.30;1.00;21;0;0;61.00;0
10;0;1623223579699;10;4;31;91;12.06;0.43;28.30;1.00;21;0;0;62.00;0
10;0;1623223579702;10;5;31;91;11.36;0.41;28.30;1.00;21;0;0;63.00;0
11;0;1623223579704;11;6;32;91;11.36;0.41;27.45;1.00;21;0;0;64.00;0
12;0;1623223579707;12;5;32;91;10.58;0.38;28.08;1.00;20;0;0;65.00;0
13;0;1623223579710;13;6;32;91;10.38;0.37;29.54;1.00;19;0;0;66.00;0
13;0;1623223579712;13;7;33;91;11.61;0.42;29.54;1.00;20;0;0;67.00;0
13;0;1623223579721;13;7;33;91;11.95;0.43;29.54;1.00;20;0;0;68.00;0
13;0;1623223579724;13;7;33;91;12.19;0.44;29.54;1.00;20;0;0;69.00;0
13;0;1623223579727;13;8;33;91;12.57;0.45;29.54;1.00;20;0;0;70.00;0
14;0;1623223579730;14;8;34;91;13.31;0.48;29.86;1.00;20;0;0;71.00;0
14;0;1623223579732;14;8;34;91;13.38;0.48;29.86;1.00;20;0;0;72.00;0
15;0;1623223579735;15;8;35;91;13.19;0.47;30.07;1.00;20;0;0;73.00;0
17;0;1623223579737;17;8;36;91;12.73;0.46;32.88;1.00;19;0;0;74.00;0
18;0;1623223579740;18;8;36;91;11.69;0.42;33.89;1.00;18;0;0;75.00;0
19;0;1623223579743;19;8;36;91;10.32;0.37;35.05;1.00;17;0;0;76.00;0
19;0;1623223579745;19;8;38;91;11.90;0.43;35.05;1.00;19;0;0;77.00;0
20;0;1623223579747;20;8;39;91;11.89;0.43;36.00;1.00;19;0;0;78.00;0
21;0;1623223579750;21;8;39;91;10.70;0.39;35.38;1.00;18;0;0;79.00;0
